0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
BANK1	1.065082977889468e-124	LEF1	1.503228560922022e-14	TNFAIP3	1.5020502909112787e-43	S100A4	2.0165234012692826e-62	Z93403.1	2.746828006200998e-66	FHIT	8.422434122408e-21	CCL5	5.085124611634131e-65	CAMK4	1.987098355796671e-36	S100B	2.1788881164157598e-51	GNLY	3.8450803347133634e-58	PRKCA	3.4402481522435336e-55	HLA-DRA	1.029613234768769e-49	AFF3	2.5686963831921445e-47	CDC42SE2	6.30088997243678e-37	AL591506.1	1.2775073949231843e-38	SLC18A2	2.404345118527981e-22	NEAT1	1.5822465095519445e-39	CCL5	1.5213667310150217e-19	CLCA4-AS1	3.664864906032368e-06
CD74	4.991001803155921e-120	PRR4	1.2929389831123842e-12	LMNA	1.5739626174728668e-38	CRIP1	1.4136234364294024e-37	PTX3	1.219133379082691e-65	LEF1	1.2393389907043099e-18	ZEB2	4.37226592156333e-55	SERINC5	2.97715115832965e-32	S100P	4.128235330757761e-49	ZEB2	1.0417301580812844e-56	ZEB1	5.283200427874571e-43	CD79A	1.536263474734771e-49	EIF2AK3	3.2313800678243725e-47	CDC14A	2.198883162879734e-29	TRBV14	1.6281473140418918e-38	AL157911.1	8.95313193002841e-22	NAMPT	1.9771011982024438e-39	GZMK	5.686650162357151e-18	PCDH9-AS2	3.997715252832647e-06
AFF3	4.14511735706837e-119	TPPP3	1.956921655123044e-12	ITGB1	3.4965366486827685e-37	S100A6	5.452938569475719e-36	ZNF70	1.8115039019298075e-65	PRKCA	2.6883330413373185e-17	RUNX3	6.103142136492714e-53	PRKCA	1.486700535719435e-30	TUFT1	2.362400909079488e-48	NKG7	2.9134032090873188e-55	PDE3B	1.435519589062612e-42	CD37	1.0964185164606e-48	LYN	1.2710068848906783e-46	TNFAIP3	4.347507878208083e-28	AL357093.2	4.19491073730435e-38	ZNF80	1.076216585922311e-21	JARID2	8.221335426397366e-39	DUSP2	5.833817042667743e-18	GNLY	4.140747484012111e-06
MS4A1	4.2110300308632685e-118	TMEM202-AS1	2.298640300485572e-12	CDC14A	3.7443792748936497e-32	LMNA	1.4843807217308793e-33	AC021851.1	2.5885113327522295e-65	PLCL1	2.8032776685595953e-15	DUSP2	8.269004572798445e-51	PDE3B	6.573711031443583e-30	LCMT1-AS1	3.291477019716517e-48	CD247	2.7941230323683825e-53	BCL11B	2.5893093675280073e-41	CD74	7.469015133941629e-48	BANK1	1.3638073930273436e-46	HERC1	7.399817896117562e-27	VARS2	9.294151791754531e-38	SORBS2	1.5645953963095686e-21	SAT1	1.171870145948261e-38	BHLHE40	1.1819710421042641e-16	AC005699.1	4.359430537817558e-06
HLA-DRA	3.0050967314435444e-116	POLE2	2.352740846700943e-12	SAMSN1	4.0100778834777896e-32	ZFP36L2	5.756331800353949e-33	AP001977.1	2.5935071918814433e-65	PRKCA-AS1	4.415388397433053e-15	PPP1R16B	6.407161276850845e-49	LEF1	2.7673026915129473e-28	DHCR7	3.880831967702489e-48	GZMB	6.675933836328699e-49	SERINC5	1.476679995497925e-40	HLA-DPB1	1.7838454790936687e-45	SIPA1L1	2.2515827287180504e-45	RORA	2.1543404887276347e-26	DHRS11	1.6968822102422518e-37	ABTB2	1.8387190583367022e-21	ATP2B1	2.7015620483830974e-36	ZFP36L2	1.4673688522448236e-15	LINC02246	4.3798505246601104e-06
ADAM28	2.511745257674779e-112	RBMS3	2.4150974460191693e-12	RORA	1.130459328828357e-26	DUSP2	6.022072794169536e-29	DUOX1	4.693980046529536e-65	LDLRAD4	3.685244028053619e-14	GZMK	6.693762966040148e-47	MAML2	1.83117080845451e-27	ZNF280B	4.1403897423663506e-48	YES1	2.772869861044707e-48	FHIT	1.6726152721053486e-38	HLA-DPA1	6.894081599312258e-45	BACH2	1.0448598477459696e-44	PRKCH	3.7209997522631408e-25	LAMC1	1.8846669747973763e-37	CLDN15	1.9023990585390148e-21	PSAP	1.964508310604739e-35	S100A4	1.4970317575237957e-15	MCAM	4.400362135997251e-06
IGHM	2.602646250909367e-112	CDCP1	2.7540163709755837e-12	BICDL1	1.1875624194488969e-26	FOS	1.849632474216192e-27	AC022217.2	8.885646788443733e-65	BNIPL	1.696248978258097e-13	LITAF	4.338975898690497e-44	PLCL1	5.345276108538498e-26	NUDT13	5.274749477080068e-48	CTSW	9.273609681033804e-47	SLC2A3	9.230851872843276e-38	IGHM	7.909099909227258e-41	COL19A1	1.6161106767417105e-42	CD28	2.5153811908747134e-24	RBBP9	2.00621169292304e-37	ZNF180	2.0473421181469716e-21	SRGN	9.472509581626551e-35	CTSW	4.248795155258935e-15	CRB1	4.4520445948718e-06
HLA-DRB1	4.73409322641953e-110	PPP1R32	3.670366314798977e-12	ATXN1	9.658447035870899e-26	LGALS1	1.0793846714614056e-26	AL731769.2	9.43053724934048e-65	AGBL4	1.737614069561474e-13	NKG7	1.3625901993898722e-40	RAPGEF6	5.707448724309505e-25	SERPINB2	9.379593700530175e-48	GNG2	1.1573936737797417e-41	CAMK4	5.940752822675282e-37	HLA-DQB1	8.186646750048376e-40	MGAT5	2.03531183805289e-42	ADGRE5	1.6549688927315225e-22	STOX1	4.800613407834016e-37	LINC01031	2.3623281068433513e-21	GAB2	3.88405811359628e-34	LYAR	1.0119152993831035e-14	DDR2	4.546541990471542e-06
EIF2AK3	4.856549828801975e-107	GRIN2C	4.5101060099639e-12	GPRIN3	3.319897878718704e-24	ACTB	1.4861559374535552e-25	TMSB15B-AS1	9.466813626939334e-65	CAMK4	1.8701995996424456e-13	CTSW	5.146695569649919e-40	BCL11B	7.410891174712583e-25	RTL8A	1.538772951058178e-47	MCTP2	2.827297820995846e-40	LEF1	7.895427989603061e-37	MS4A1	1.1322421657913635e-38	RALGPS2	2.2618870753544165e-40	DUSP4	4.56231076481406e-21	MTUS1	7.186955980530886e-37	MIEF1	2.4006347638755375e-21	LYZ	7.226715219024563e-34	NKG7	3.972946518925186e-14	AC112206.2	4.57846592171288e-06
LYN	6.989962931655832e-107	GGACT	7.298929267301181e-12	HNRNPLL	9.973458621192261e-24	TNFAIP3	1.5085971147996961e-24	LINC00907	9.818450633215953e-65	PCSK5	2.221370492591039e-13	CBLB	2.322804463461259e-39	CERS6	1.0668067823832759e-23	SORD	1.9147965712791976e-47	CCL5	3.768027328081587e-40	CDC14A	9.553070820482287e-37	HLA-DRB1	6.795897249968709e-37	CDK14	1.2326549680712831e-39	TRAF1	8.150339922897545e-21	AL807742.1	7.479177422216601e-37	IGSF11	3.399302340461979e-21	PLAUR	7.621338349684554e-34	TNFAIP3	4.0561387928870674e-14	WWTR1	4.610604522601412e-06
RALGPS2	1.7491730353307434e-105	CLEC10A	7.309313186477272e-12	PBX4	1.3253172581766197e-22	CLIC1	2.2778187771993806e-24	AC018557.3	1.1624581541006322e-64	AL359706.1	2.2525827720688834e-13	CCNH	3.961534653285175e-39	HIST1H2AC	2.239628725901089e-23	ARMC7	2.526168993793211e-47	KLRD1	3.4800910519337694e-39	INPP4B	7.673637398346343e-36	HLA-DQA1	2.3971406747688066e-34	ADAM28	1.794503062439835e-39	ZNF331	2.1394846779079826e-20	FTCDNL1	7.595981850086171e-37	AL033523.1	3.7090284180350104e-21	GPCPD1	1.2690595205732173e-33	CST7	5.856745783887702e-12	HEXIM2	4.752386116812773e-06
HLA-DQB1	1.9046816627803843e-103	ALDH1A2	8.833716235812594e-12	NIBAN1	2.5790788113266195e-22	ANXA1	5.174191895194558e-24	AC084024.4	1.1669265595139814e-64	AC007541.1	3.217016575034614e-13	CD8A	1.1704193241952115e-38	CD247	2.375590251300322e-22	ANKRD16	3.4368891759671946e-47	CST7	3.6267802107811945e-39	PRKCH	8.374270079341928e-34	HLA-DRB5	5.429243915912616e-34	CD83	2.8632984794819427e-39	SYNE2	2.210876456765539e-20	AL355001.2	7.800451146535028e-37	AC005387.2	3.961251400967773e-21	FCN1	2.5112981616162204e-33	ERN1	1.9836974868695115e-11	GUCY1A1	4.819223473301799e-06
HLA-DQA1	2.5178563498330035e-103	MCM4	9.19740640954501e-12	SYNE2	3.925518852764372e-22	CCL5	1.1122954143828775e-23	AC009879.4	1.200989741926358e-64	PDE3B	3.7640531744663087e-13	RNF19A	9.687281223428062e-37	ADAMTS17	3.054071042073606e-22	SFT2D3	6.036460314325598e-47	LITAF	4.337427528389982e-38	CDC42SE2	1.6141541140769774e-33	BANK1	2.342726354156564e-32	MS4A1	3.994662576505629e-39	BCL11B	6.783624608224339e-20	HDAC11	8.907804228401534e-37	LHFPL6	4.039456323040557e-21	SPI1	3.809487841192855e-33	RORA	4.680495924398841e-11	BFSP2	4.841701977178129e-06
LINC00926	1.8044198528108332e-101	MPPED2	1.0371434364983207e-11	PPP1R16B	6.321674078571958e-22	COTL1	1.400059069974e-23	AL121985.1	1.2599776562981187e-64	ARHGEF37	3.8512138082905536e-13	P2RY8	9.183855860381386e-36	PCSK5	8.268833415917297e-22	LY6G5B	6.577376520864852e-47	EFHD2	1.7650845301360537e-37	MAML2	7.75937292328117e-33	AFF3	5.81053290346771e-27	FCRL1	6.470113966715806e-39	LMNA	1.4159279579241204e-19	ZNF69	1.0421506576420698e-36	BICRA-AS1	4.336928653559051e-21	MAFB	5.0337112356244116e-33	RUNX3	9.096235760699934e-11	SPANXA2-OT1	4.8983384199433845e-06
